Date,Open,High,Low,Close,Adj Close,Volume
2025-05-16,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-19,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-20,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-21,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-22,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-23,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-26,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-27,14.0,14.0,14.0,14.0,14.0,0.0
2025-05-28,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-02,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-03,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-04,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-05,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-10,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-11,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-12,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-13,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-16,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-17,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-18,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-19,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-20,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-23,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-24,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-25,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-26,14.0,14.0,14.0,14.0,14.0,0.0
2025-06-30,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-01,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-02,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-03,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-04,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-07,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-08,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-09,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-10,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-11,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-14,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-15,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-16,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-17,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-18,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-21,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-22,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-23,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-24,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-25,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-28,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-29,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-30,14.0,14.0,14.0,14.0,14.0,0.0
2025-07-31,14.0,14.0,14.0,14.0,14.0,0.0
2025-08-01,14.0,14.0,14.0,14.0,14.0,0.0
2025-08-04,14.0,14.0,14.0,14.0,14.0,0.0
2025-08-05,14.0,14.0,14.0,14.0,14.0,0.0
2025-08-06,14.0,14.0,14.0,14.0,14.0,0.0
2025-08-07,14.0,14.0,14.0,14.0,14.0,0.0
2025-08-08,14.0,14.0,14.0,14.0,14.0,0.0
