Date,Open,High,Low,Close,Adj Close,Volume
2025-05-27,51.0,52.0,50.0,51.0,51.0,17667100
2025-05-28,51.0,52.0,50.0,50.0,50.0,52574300
2025-06-02,50.0,51.0,50.0,50.0,50.0,37210300
2025-06-03,50.0,51.0,50.0,50.0,50.0,30008300
2025-06-04,50.0,51.0,50.0,50.0,50.0,94739000
2025-06-05,51.0,51.0,50.0,51.0,51.0,23489500
2025-06-10,50.0,52.0,50.0,52.0,52.0,84025400
2025-06-11,52.0,52.0,50.0,51.0,51.0,48184100
2025-06-12,51.0,52.0,51.0,51.0,51.0,19758400
2025-06-13,51.0,52.0,51.0,51.0,51.0,22942100
2025-06-16,52.0,52.0,51.0,51.0,51.0,22218400
2025-06-17,51.0,52.0,50.0,51.0,51.0,27652000
2025-06-18,51.0,52.0,50.0,51.0,51.0,20479200
2025-06-19,51.0,52.0,50.0,50.0,50.0,22211100
2025-06-20,50.0,51.0,50.0,50.0,50.0,103756400
2025-06-23,50.0,51.0,50.0,51.0,51.0,63508500
2025-06-24,50.0,51.0,50.0,50.0,50.0,57880900
2025-06-25,50.0,51.0,50.0,50.0,50.0,24307700
2025-06-26,50.0,51.0,50.0,50.0,50.0,19259700
2025-06-30,50.0,51.0,50.0,50.0,50.0,37678500
2025-07-01,50.0,51.0,50.0,51.0,51.0,30768900
2025-07-02,51.0,51.0,50.0,50.0,50.0,19747800
2025-07-03,50.0,51.0,50.0,51.0,51.0,15885300
2025-07-04,51.0,51.0,50.0,50.0,50.0,11877400
2025-07-07,50.0,51.0,50.0,51.0,51.0,22195800
2025-07-08,50.0,51.0,50.0,50.0,50.0,70480200
2025-07-09,50.0,53.0,50.0,51.0,51.0,142593700
2025-07-10,52.0,52.0,51.0,51.0,51.0,46369100
2025-07-11,52.0,52.0,51.0,52.0,52.0,53460400
2025-07-14,52.0,52.0,51.0,52.0,52.0,58179000
2025-07-15,52.0,52.0,50.0,51.0,51.0,24102100
2025-07-16,52.0,52.0,50.0,51.0,51.0,23153200
2025-07-17,51.0,52.0,50.0,51.0,51.0,23893400
2025-07-18,51.0,52.0,50.0,50.0,50.0,62432900
2025-07-21,50.0,52.0,50.0,51.0,51.0,57832700
2025-07-22,51.0,52.0,51.0,51.0,51.0,43670600
2025-07-23,52.0,52.0,51.0,51.0,51.0,22514500
2025-07-24,51.0,52.0,51.0,51.0,51.0,25531200
2025-07-25,51.0,52.0,50.0,50.0,50.0,48316000
2025-07-28,50.0,52.0,50.0,50.0,50.0,43376900
2025-07-29,51.0,52.0,51.0,51.0,51.0,20049900
2025-07-30,52.0,52.0,51.0,52.0,52.0,91456900
2025-07-31,53.0,56.0,52.0,52.0,52.0,394272600
2025-08-01,53.0,53.0,51.0,51.0,51.0,141209600
2025-08-04,52.0,52.0,51.0,52.0,52.0,131326700
2025-08-05,52.0,52.0,51.0,51.0,51.0,59232300
2025-08-06,52.0,52.0,51.0,51.0,51.0,29731400
2025-08-07,52.0,52.0,51.0,52.0,52.0,97846500
2025-08-08,52.0,52.0,51.0,51.0,51.0,52007600
2025-08-11,51.0,52.0,50.0,51.0,51.0,52735800
