Date,Open,High,Low,Close,Adj Close,Volume
2025-06-03,880.0,905.0,870.0,885.0,880.5750122070312,210700
2025-06-04,885.0,910.0,880.0,885.0,880.5750122070312,218400
2025-06-05,900.0,905.0,880.0,880.0,875.5999755859375,193800
2025-06-10,870.0,900.0,855.0,865.0,860.6749877929688,415300
2025-06-11,875.0,890.0,865.0,890.0,885.5499877929688,335800
2025-06-12,890.0,890.0,865.0,875.0,870.625,252600
2025-06-13,875.0,880.0,840.0,855.0,850.7249755859375,768100
2025-06-16,860.0,865.0,850.0,850.0,845.75,123300
2025-06-17,860.0,865.0,850.0,860.0,855.7000122070312,179700
2025-06-18,860.0,870.0,855.0,855.0,850.7249755859375,89800
2025-06-19,855.0,860.0,805.0,820.0,815.9000244140625,649800
2025-06-20,810.0,825.0,810.0,810.0,805.9500122070312,96500
2025-06-23,805.0,805.0,780.0,785.0,781.0750122070312,373900
2025-06-24,785.0,820.0,785.0,800.0,796.0,114900
2025-06-25,815.0,820.0,790.0,790.0,790.0,103400
2025-06-26,790.0,815.0,780.0,805.0,805.0,147900
2025-06-30,815.0,815.0,790.0,795.0,795.0,503300
2025-07-01,800.0,805.0,775.0,790.0,790.0,145900
2025-07-02,790.0,805.0,790.0,790.0,790.0,71700
2025-07-03,790.0,885.0,790.0,840.0,840.0,1044200
2025-07-04,880.0,880.0,830.0,840.0,840.0,378800
2025-07-07,845.0,850.0,830.0,840.0,840.0,58100
2025-07-08,835.0,840.0,825.0,835.0,835.0,327700
2025-07-09,880.0,880.0,850.0,860.0,860.0,712000
2025-07-10,860.0,885.0,860.0,870.0,870.0,718000
2025-07-11,870.0,880.0,865.0,865.0,865.0,263400
2025-07-14,865.0,900.0,850.0,895.0,895.0,1067500
2025-07-15,925.0,925.0,885.0,905.0,905.0,782200
2025-07-16,905.0,905.0,880.0,890.0,890.0,352300
2025-07-17,890.0,905.0,880.0,890.0,890.0,369300
2025-07-18,890.0,900.0,880.0,895.0,895.0,210100
2025-07-21,895.0,895.0,875.0,885.0,885.0,252000
2025-07-22,880.0,890.0,865.0,880.0,880.0,442400
2025-07-23,895.0,1100.0,890.0,1100.0,1100.0,20226900
2025-07-24,1220.0,1250.0,995.0,1005.0,1005.0,18867500
2025-07-25,1010.0,1015.0,950.0,980.0,980.0,16750900
2025-07-28,1000.0,1060.0,970.0,1025.0,1025.0,5025100
2025-07-29,1010.0,1040.0,1000.0,1025.0,1025.0,1912200
2025-07-30,1030.0,1060.0,1000.0,1050.0,1050.0,2262200
2025-07-31,1060.0,1070.0,1010.0,1040.0,1040.0,1122800
2025-08-01,1040.0,1040.0,1015.0,1040.0,1040.0,639600
2025-08-04,1040.0,1060.0,1015.0,1025.0,1025.0,1712400
2025-08-05,1025.0,1070.0,1015.0,1035.0,1035.0,2111300
2025-08-06,1050.0,1090.0,1030.0,1040.0,1040.0,1467600
2025-08-07,1020.0,1115.0,1020.0,1095.0,1095.0,3736000
2025-08-08,1095.0,1095.0,1055.0,1075.0,1075.0,973400
2025-08-11,1075.0,1110.0,1070.0,1075.0,1075.0,848800
