Date,Open,High,Low,Close,Adj Close,Volume
2025-06-11,25.0,26.0,25.0,26.0,26.0,60200
2025-06-12,26.0,26.0,25.0,25.0,25.0,41200
2025-06-13,25.0,26.0,25.0,26.0,26.0,36500
2025-06-16,26.0,26.0,26.0,26.0,26.0,0
2025-06-17,26.0,26.0,24.0,24.0,24.0,5300
2025-06-18,26.0,26.0,26.0,26.0,26.0,100300
2025-06-19,26.0,26.0,26.0,26.0,26.0,1000
2025-06-20,26.0,26.0,26.0,26.0,26.0,1000
2025-06-23,26.0,26.0,26.0,26.0,26.0,100
2025-06-24,26.0,26.0,26.0,26.0,26.0,2400
2025-06-25,26.0,26.0,26.0,26.0,26.0,0
2025-06-26,26.0,26.0,26.0,26.0,26.0,0
2025-06-30,26.0,26.0,26.0,26.0,26.0,0
2025-07-01,25.0,25.0,24.0,24.0,24.0,1600
2025-07-02,24.0,24.0,24.0,24.0,24.0,19500
2025-07-03,24.0,24.0,24.0,24.0,24.0,298800
2025-07-04,24.0,24.0,24.0,24.0,24.0,200
2025-07-07,23.0,25.0,23.0,25.0,25.0,12400
2025-07-08,25.0,25.0,25.0,25.0,25.0,600
2025-07-09,25.0,25.0,25.0,25.0,25.0,1900
2025-07-10,24.0,24.0,24.0,24.0,24.0,37700
2025-07-11,24.0,24.0,24.0,24.0,24.0,400
2025-07-14,23.0,23.0,23.0,23.0,23.0,317500
2025-07-15,23.0,24.0,23.0,24.0,24.0,281200
2025-07-16,25.0,25.0,25.0,25.0,25.0,8300
2025-07-17,25.0,25.0,25.0,25.0,25.0,30300
2025-07-18,25.0,25.0,24.0,24.0,24.0,540400
2025-07-21,25.0,25.0,25.0,25.0,25.0,1100
2025-07-22,25.0,25.0,25.0,25.0,25.0,29400
2025-07-23,25.0,25.0,25.0,25.0,25.0,1900
2025-07-24,24.0,25.0,24.0,25.0,25.0,108700
2025-07-25,25.0,26.0,25.0,26.0,26.0,54700
2025-07-28,27.0,27.0,27.0,27.0,27.0,208300
2025-07-29,27.0,27.0,27.0,27.0,27.0,27600
2025-07-30,27.0,27.0,27.0,27.0,27.0,1700
2025-07-31,27.0,27.0,27.0,27.0,27.0,5900
2025-08-01,27.0,27.0,26.0,27.0,27.0,54200
2025-08-04,27.0,27.0,25.0,25.0,25.0,91400
2025-08-05,25.0,27.0,25.0,27.0,27.0,434600
2025-08-06,27.0,27.0,26.0,27.0,27.0,52100
2025-08-07,27.0,27.0,27.0,27.0,27.0,287600
2025-08-08,27.0,27.0,27.0,27.0,27.0,3000
2025-08-11,27.0,27.0,25.0,25.0,25.0,15000
